cid,aid,Host Name,DetectId,Severity,Objective,Tactic,Technique,Process ID,File Name,Description,Company,Detect Date,Scenario,Status,AV Hits,Device Type,FalconHostLink,Parent Process ID,Command Line,MD5,SHA256,User Name,Disposition,Detect Details,fFirstSeen,fLastSeen																												
87a24226f33a42d1a19c24053061654c,b9f7df75f29a41ffb18f52d8144eb643,W-503695,236236664598,High,Falcon Detection Method,Custom Intelligence,Indicator of Compromise,2645424870868,EXCEL.EXE,A domain matched a Custom Intelligence Indicator (Custom IOC) with high severity.,Company X,23/05/22 09:23,Intel Detection,New,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236236664598?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2615884965913,"""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde",27170fe19d0b81218c9108d332ea0b02,66cb80df00d620c824c075b2cca9a19f250103ca8861f2b8b6f18f033952e6b0,IT91849,"Detection, standard detection.","Severity: High	Objective: Falcon Detection Method	Tactic: Custom Intelligence	Technique: Indicator of Compromise	Disposition: Detection, standard detection.	Scenario: Intel Detection	Description: A domain matched a Custom Intelligence Indicator (Custom IOC) with high severity.	AV Hits: 0	Host Name: W-503695	Device Type: Workstation	Process ID: 2645424870868	File Name: EXCEL.EXE	Command Line: ""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde	SHA256: 66cb80df00d620c824c075b2cca9a19f250103ca8861f2b8b6f18f033952e6b0	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236236664598?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653294209,1653301409
87a24226f33a42d1a19c24053061654c,b9f7df75f29a41ffb18f52d8144eb643,W-503695,236234533394,High,Keep Access,Defense Evasion,Regsvr32,2648176681660,regsvr32.exe,Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.,Company X,23/05/22 09:23,Attacker Methodology,New,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236234533394?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2645424870868,C:\Windows\System32\regsvr32.exe /S ..\cusoa2.ocx,878e47c8656e53ae8a8a21e927c6f7e0,31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2,IT91849,"Prevention, process was blocked from execution.","Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Regsvr32	Disposition: Prevention, process was blocked from execution.	Scenario: Attacker Methodology	Description: Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.	AV Hits: 0	Host Name: W-503695	Device Type: Workstation	Process ID: 2648176681660	File Name: regsvr32.exe	Command Line: C:\Windows\System32\regsvr32.exe /S ..\cusoa2.ocx	SHA256: 31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236234533394?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653294205,1653301405
87a24226f33a42d1a19c24053061654c,b9f7df75f29a41ffb18f52d8144eb643,W-503695,236232846506,High,Keep Access,Defense Evasion,Regsvr32,2648175636093,regsvr32.exe,Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.,Company X,23/05/22 09:23,Attacker Methodology,New,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236232846506?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2645424870868,C:\Windows\System32\regsvr32.exe /S ..\cusoa1.ocx,878e47c8656e53ae8a8a21e927c6f7e0,31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2,IT91849,"Prevention, process was blocked from execution.","Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Regsvr32	Disposition: Prevention, process was blocked from execution.	Scenario: Attacker Methodology	Description: Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.	AV Hits: 0	Host Name: W-503695	Device Type: Workstation	Process ID: 2648175636093	File Name: regsvr32.exe	Command Line: C:\Windows\System32\regsvr32.exe /S ..\cusoa1.ocx	SHA256: 31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236232846506?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653294191,1653301391
87a24226f33a42d1a19c24053061654c,b9f7df75f29a41ffb18f52d8144eb643,W-503695,236232231478,High,Keep Access,Defense Evasion,Regsvr32,2648163927534,regsvr32.exe,Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.,Company X,23/05/22 09:22,Attacker Methodology,New,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236232231478?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2645424870868,C:\Windows\System32\regsvr32.exe /S ..\cusoa2.ocx,878e47c8656e53ae8a8a21e927c6f7e0,31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2,IT91849,"Prevention, process was blocked from execution.","Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Regsvr32	Disposition: Prevention, process was blocked from execution.	Scenario: Attacker Methodology	Description: Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.	AV Hits: 0	Host Name: W-503695	Device Type: Workstation	Process ID: 2648163927534	File Name: regsvr32.exe	Command Line: C:\Windows\System32\regsvr32.exe /S ..\cusoa2.ocx	SHA256: 31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236232231478?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653294137,1653301337
87a24226f33a42d1a19c24053061654c,b9f7df75f29a41ffb18f52d8144eb643,W-503695,236231374882,High,Keep Access,Defense Evasion,Regsvr32,2648162603794,regsvr32.exe,Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.,Company X,23/05/22 09:22,Attacker Methodology,New,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236231374882?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2645424870868,C:\Windows\System32\regsvr32.exe /S ..\cusoa1.ocx,878e47c8656e53ae8a8a21e927c6f7e0,31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2,IT91849,"Prevention, process was blocked from execution.","Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Regsvr32	Disposition: Prevention, process was blocked from execution.	Scenario: Attacker Methodology	Description: Regsvr32 launched with unusual arguments. An adversary might be abusing regsvr32 to load a malicious payload. Review the file passed to regsvr32.	AV Hits: 0	Host Name: W-503695	Device Type: Workstation	Process ID: 2648162603794	File Name: regsvr32.exe	Command Line: C:\Windows\System32\regsvr32.exe /S ..\cusoa1.ocx	SHA256: 31aee70f9705f6578c6b41849ea3b5a948a446f494f24befcf5b169a1c2a71d2	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b9f7df75f29a41ffb18f52d8144eb643/236231374882?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653294127,1653301327
87a24226f33a42d1a19c24053061654c,97f420cd90e242f8bcd97402d72ff72f,W-500302,794571657900,High,Keep Access,Defense Evasion,Disable or Modify Tools,2213417268520,dllhost.exe,A process attempted to modify Falcon sensor installer related files. This is indicative of an attempt to tamper with Falcon sensor. Investigate the file system operation and process tree.,Company X,23/05/22 08:40,Suspicious Activity,false_positive,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/97f420cd90e242f8bcd97402d72ff72f/794571657900?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2207626365400,C:\WINDOWS\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09},680045579134d8ad9d0400a9dbe30786,6a8f00c4bf7ce696edeba9e6c401ff9dd7eb59f34af25d7eee591b4837d67c7c,admw-frmathie,File system Operation Blocked,Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Disable or Modify Tools	Disposition: File system Operation Blocked	Scenario: Suspicious Activity	Description: A process attempted to modify Falcon sensor installer related files. This is indicative of an attempt to tamper with Falcon sensor. Investigate the file system operation and process tree.	AV Hits: 0	Host Name: W-500302	Device Type: Workstation	Process ID: 2213417268520	File Name: dllhost.exe	Command Line: C:\WINDOWS\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09}	SHA256: 6a8f00c4bf7ce696edeba9e6c401ff9dd7eb59f34af25d7eee591b4837d67c7c	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/97f420cd90e242f8bcd97402d72ff72f/794571657900?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,1653291653,1653298853
87a24226f33a42d1a19c24053061654c,97f420cd90e242f8bcd97402d72ff72f,W-500302,794570068137,High,Keep Access,Defense Evasion,Disable or Modify Tools,2212225523111,dllhost.exe,A process attempted to modify Falcon sensor installer related files. This is indicative of an attempt to tamper with Falcon sensor. Investigate the file system operation and process tree.,Company X,23/05/22 08:23,Suspicious Activity,false_positive,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/97f420cd90e242f8bcd97402d72ff72f/794570068137?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,2207626365400,C:\WINDOWS\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09},680045579134d8ad9d0400a9dbe30786,6a8f00c4bf7ce696edeba9e6c401ff9dd7eb59f34af25d7eee591b4837d67c7c,admw-frmathie,File system Operation Blocked,Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Disable or Modify Tools	Disposition: File system Operation Blocked	Scenario: Suspicious Activity	Description: A process attempted to modify Falcon sensor installer related files. This is indicative of an attempt to tamper with Falcon sensor. Investigate the file system operation and process tree.	AV Hits: 0	Host Name: W-500302	Device Type: Workstation	Process ID: 2212225523111	File Name: dllhost.exe	Command Line: C:\WINDOWS\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09}	SHA256: 6a8f00c4bf7ce696edeba9e6c401ff9dd7eb59f34af25d7eee591b4837d67c7c	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/97f420cd90e242f8bcd97402d72ff72f/794570068137?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,1653290592,1653297792
87a24226f33a42d1a19c24053061654c,b4a5452070034d6dad822f4317b6166e,DESKTOP-5QEOVA5,712965823100,Medium,Falcon Detection Method,Machine Learning,Sensor-based ML,1328038330648,skfp.exe,A file written to the file-system meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files.,Company X,23/05/22 08:01,NGAV,false_positive,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b4a5452070034d6dad822f4317b6166e/712965823100?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,1328037377950,"""C:\Program Files (x86)\Aisino\Ã¥Â¼â‚¬Ã§Â¥Â¨Ã¨Â½Â¯Ã¤Â»Â¶\Bin\skfp.exe"" ",325b217f2401bbc7466f5882655465e2,b192edfc94cbd7bc1a1100d4647a36f1cde794b91493f91a0f4a03a7dec1219f,YWXU,"Detection, standard detection.","Severity: Medium	Objective: Falcon Detection Method	Tactic: Machine Learning	Technique: Sensor-based ML	Disposition: Detection, standard detection.	Scenario: NGAV	Description: A file written to the file-system meets the machine learning-based on-sensor AV protection's medium confidence threshold for malicious files.	AV Hits: 0	Host Name: DESKTOP-5QEOVA5	Device Type: Workstation	Process ID: 1328038330648	File Name: skfp.exe	Command Line: ""C:\Program Files (x86)\Aisino\Ã¥Â¼â‚¬Ã§Â¥Â¨Ã¨Â½Â¯Ã¤Â»Â¶\Bin\skfp.exe"" 	SHA256: b192edfc94cbd7bc1a1100d4647a36f1cde794b91493f91a0f4a03a7dec1219f	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/b4a5452070034d6dad822f4317b6166e/712965823100?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653289277,1653296477
87a24226f33a42d1a19c24053061654c,73102f3a739d4c028cccc3b3ac54f791,W-507467,4.65580597908678E+018,Medium,Falcon Detection Method,Custom Intelligence,Indicator of Compromise,1920667334421,EXCEL.EXE,A domain matched a Custom Intelligence Indicator (Custom IOC).,Company X,23/05/22 06:14,Intel Detection,true_positive,0,Workstation,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/73102f3a739d4c028cccc3b3ac54f791/4655805979086776103?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,1915799739312,"""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde",27170fe19d0b81218c9108d332ea0b02,66cb80df00d620c824c075b2cca9a19f250103ca8861f2b8b6f18f033952e6b0,IT83706,"Detection, standard detection.","Severity: Medium	Objective: Falcon Detection Method	Tactic: Custom Intelligence	Technique: Indicator of Compromise	Disposition: Detection, standard detection.	Scenario: Intel Detection	Description: A domain matched a Custom Intelligence Indicator (Custom IOC).	AV Hits: 0	Host Name: W-507467	Device Type: Workstation	Process ID: 1920667334421	File Name: EXCEL.EXE	Command Line: ""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde	SHA256: 66cb80df00d620c824c075b2cca9a19f250103ca8861f2b8b6f18f033952e6b0	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/73102f3a739d4c028cccc3b3ac54f791/4655805979086776103?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653282877,1653290077
87a24226f33a42d1a19c24053061654c,69725204c8e44a9e866fb42a780ea49f,BGSOARS15,223339825349,High,Keep Access,Defense Evasion,Disable or Modify Tools,1817995638390,regedit.exe,A process attempted to modify Falcon sensor configuration via the registry. This is indicative of an attempt to tamper with Falcon sensor. Investigate the registry operation and process tree.,Company X,21/05/22 12:21,Suspicious Activity,false_positive,0,Server,https://falcon.eu-1.crowdstrike.com/activity/detections/detail/69725204c8e44a9e866fb42a780ea49f/223339825349?_cid=g05000tskbyy6tmbhnxesmqa2czizd34,1817962166167,"""C:\Windows\regedit.exe"" ",34cd52eeda44a3f616eb52fe38b54529,45a9f75d4cf3457b24ced2123e98e70ff0b709d736544856992f08b234b592f1,adms-bgnlzrv,Policy Disabled + Registry Operation Blocked,"Severity: High	Objective: Keep Access	Tactic: Defense Evasion	Technique: Disable or Modify Tools	Disposition: Policy Disabled + Registry Operation Blocked	Scenario: Suspicious Activity	Description: A process attempted to modify Falcon sensor configuration via the registry. This is indicative of an attempt to tamper with Falcon sensor. Investigate the registry operation and process tree.	AV Hits: 0	Host Name: BGSOARS15	Device Type: Server	Process ID: 1817995638390	File Name: regedit.exe	Command Line: ""C:\Windows\regedit.exe"" 	SHA256: 45a9f75d4cf3457b24ced2123e98e70ff0b709d736544856992f08b234b592f1	FH Link: https://falcon.eu-1.crowdstrike.com/activity/detections/detail/69725204c8e44a9e866fb42a780ea49f/223339825349?_cid=g05000tskbyy6tmbhnxesmqa2czizd34",1653132066,1653139266
